OBJECT_ID,Redshift,log_z,MeasuredFlux,ErrorMeasuredFlux,stretch,stretchError,color,colorError,miu,miuError,extinction,extinctionError
1990af,0.05,-1.301029996,17.723,0.006,0.737,0.001,-0.001,0.009,36.632,0.045,0.39819,0.01421151998
1990O,0.031,-1.508638306,16.196,0.023,1.035,0.033,0.017,0.023,35.532,0.091,-0.02651,0.06180580636
1992ae,0.075,-1.124938737,18.392,0.037,0.939,0.021,-0.023,0.025,37.642,0.049,0.05661,0.05059099623
1992ag,0.026,-1.585026652,16.241,0.021,1.03,0.027,0.155,0.018,35.353,0.094,0.19775,0.0498287989
1992aq,0.101,-0.9956786262,19.299,0.028,0.839,0.032,-0.048,0.02,38.437,0.055,0.16936,0.05789481497
1992bc,0.02,-1.698970004,15.086,0.007,1.033,0.007,-0.031,0.008,34.494,0.111,-0.09883,0.01646095987
1992bh,0.045,-1.346787486,17.592,0.016,0.985,0.016,0.095,0.014,36.728,0.057,0.17195,0.03278082976
1992bl,0.043,-1.366531544,17.275,0.033,0.784,0.016,-0.014,0.02,36.276,0.059,0.30634,0.03971677731
1992bo,0.018,-1.744727495,15.753,0.012,0.739,0.006,0.055,0.011,34.576,0.121,0.48307,0.01953016385
1992bp,0.079,-1.102372909,18.281,0.011,0.873,0.014,-0.043,0.012,37.465,0.041,0.12553,0.02842154113
1992br,0.088,-1.055517328,19.398,0.073,0.65,0.029,0.032,0.037,38.121,0.046,0.58224,0.07292115262
1992bs,0.063,-1.200659451,18.177,0.041,1.001,0.018,-0.034,0.019,37.54,0.046,-0.0549,0.04047713552
1992P,0.026,-1.585026652,16.037,0.018,1.139,0.084,-0.005,0.018,35.565,0.141,-0.21913,0.1307700654
1993ag,0.05,-1.301029996,17.799,0.014,0.915,0.018,0.096,0.017,36.827,0.06,0.27992,0.03822205777
1993B,0.071,-1.148741651,18.377,0.054,0.988,0.022,0.041,0.026,37.604,0.048,0.08261,0.05276841859
1993H,0.025,-1.602059991,16.735,0.017,0.699,0.012,0.25,0.015,35.192,0.092,0.85002,0.02978758298
1993O,0.053,-1.27572413,17.614,0.011,0.901,0.01,-0.014,0.011,36.794,0.047,0.1285,0.02300636651
1994M,0.024,-1.619788758,16.205,0.041,0.854,0.019,0.04,0.022,35.228,0.094,0.28472,0.0450229497
1994S,0.016,-1.795880017,14.76,0.017,1.018,0.026,0.016,0.017,34.071,0.146,-0.00224,0.04768843151
1995ac,0.049,-1.30980392,17.026,0.009,1.042,0.013,0.01,0.01,36.383,0.051,-0.04814,0.02523782083
1995bd,0.016,-1.795880017,15.246,0.009,0.992,0.009,0.293,0.008,34.083,0.138,0.47217,0.01857137582
1996ab,0.125,-0.903089987,19.525,0.027,0.957,0.033,-0.074,0.015,38.885,0.049,-0.05082,0.05541324842
1996bl,0.035,-1.455931956,16.611,0.01,0.983,0.015,0.037,0.011,35.837,0.069,0.08393,0.02860232333
1996bo,0.016,-1.795880017,15.816,0.006,0.881,0.003,0.343,0.007,34.405,0.133,0.71939,0.01189847469
1996bv,0.017,-1.769551079,15.38,0.019,0.989,0.024,0.225,0.009,34.319,0.133,0.36997,0.03912093174
1996C,0.03,-1.522878745,16.636,0.029,1.045,0.111,0.122,0.01,35.822,0.21,0.12314,0.1694488961
1997dg,0.03,-1.522878745,16.821,0.014,0.917,0.024,0.005,0.01,35.994,0.08,0.13401,0.03971498961
1997Y,0.017,-1.769551079,15.284,0.02,0.916,0.024,0.008,0.014,34.452,0.136,0.14024,0.0425900317
1998ab,0.028,-1.552841969,16.048,0.01,0.938,0.008,0.071,0.007,35.15,0.079,0.20571,0.01639041488
1998dx,0.054,-1.26760624,17.66,0.055,0.733,0.039,-0.028,0.019,36.606,0.054,0.36188,0.06636224303
1998eg,0.024,-1.619788758,16.089,0.009,0.94,0.029,0.036,0.012,35.25,0.102,0.14772,0.04793737581
1998V,0.017,-1.769551079,15.094,0.011,0.909,0.016,0.03,0.006,34.216,0.128,0.18542,0.02608062116
1999aw,0.039,-1.408935393,16.732,0.005,1.205,0.008,0.044,0.006,36.284,0.057,-0.24252,0.01538187245
1999cc,0.032,-1.494850022,16.791,0.009,0.84,0.013,0.043,0.01,35.789,0.074,0.31071,0.02523782083
1999ek,0.018,-1.744727495,15.584,0.004,0.892,0.007,0.153,0.005,34.489,0.124,0.40437,0.01322240901
1999gp,0.026,-1.585026652,16.005,0.004,1.104,0.007,0.083,0.004,35.342,0.084,-0.02777,0.01235507993
2000ca,0.025,-1.602059991,15.51,0.007,1.006,0.013,-0.066,0.006,34.931,0.091,-0.11274,0.02189050022
2000cf,0.036,-1.443697499,17.091,0.027,0.868,0.024,0.054,0.013,36.113,0.066,0.28542,0.04180141744
2000cn,0.023,-1.638272164,16.544,0.007,0.732,0.006,0.19,0.006,35.146,0.094,0.70566,0.01311147589
2000dk,0.016,-1.795880017,15.323,0.005,0.724,0.006,0.052,0.005,34.129,0.133,0.50116,0.01203315836
2000fa,0.022,-1.657577319,15.832,0.014,0.953,0.01,0.081,0.009,34.941,0.101,0.19861,0.0207532383
2001ba,0.031,-1.508638306,16.182,0.006,1,0.011,-0.043,0.008,35.558,0.075,-0.06751,0.02091200612
2001cn,0.015,-1.823908741,15.271,0.013,0.911,0.012,0.208,0.007,34.118,0.142,0.46184,0.02129501585
2001cz,0.017,-1.769551079,15.035,0.006,1.004,0.01,0.12,0.007,34.162,0.127,0.18232,0.01875686808
SNLS-03D1au,0.504,-0.2975694636,22.978,0.01,1.124,0.019,0.03,0.018,42.429,0.039,-0.14138,0.04040645988
SNLS-03D1aw,0.582,-0.2350770154,23.599,0.02,1.002,0.024,0.018,0.03,42.881,0.054,0.02522,0.05957516597
SNLS-03D1ax,0.496,-0.3045183235,22.957,0.011,0.899,0.01,-0.044,0.021,42.18,0.038,0.08444,0.03630510846
SNLS-03D1bp,0.346,-0.4609239012,22.465,0.014,0.88,0.007,0.143,0.017,41.367,0.021,0.40691,0.02873265912
SNLS-03D1cm,0.87,-0.06048074738,24.469,0.066,1.173,0.061,-0.035,0.143,44.095,0.301,-0.31791,0.2429027346
SNLS-03D1co,0.679,-0.1681302257,24.094,0.033,0.975,0.032,-0.021,0.047,43.398,0.088,0.00503,0.08837880798
SNLS-03D1ew,0.868,-0.06148027482,24.359,0.078,1.028,0.04,-0.102,0.169,43.871,0.344,-0.2027,0.2722069964
SNLS-03D1fc,0.331,-0.4801720062,21.8,0.005,0.937,0.005,0.042,0.004,40.946,0.013,0.1617,0.009858924891
SNLS-03D1fl,0.688,-0.1624115618,23.629,0.015,0.999,0.024,-0.07,0.021,43.046,0.049,-0.10838,0.04917124465
SNLS-03D1fq,0.8,-0.09691001301,24.519,0.03,0.806,0.052,0.027,0.03,43.49,0.09,0.33727,0.09200941039
SNLS-03D1gt,0.548,-0.2612194415,24.119,0.048,0.856,0.042,0.244,0.05,42.825,0.08,0.60196,0.1011819925
SNLS-03D3af,0.532,-0.2740883677,23.47,0.027,0.907,0.023,0.029,0.031,42.592,0.083,0.18689,0.05992470692
SNLS-03D3aw,0.449,-0.347753659,22.552,0.016,0.955,0.013,-0.048,0.019,41.866,0.044,-0.00696,0.03578109138
SNLS-03D3ay,0.371,-0.4306260904,22.201,0.016,0.968,0.01,-0.018,0.014,41.488,0.03,0.02038,0.02672377967
SNLS-03D3ba,0.291,-0.536107011,22.049,0.034,1.036,0.021,0.263,0.015,40.999,0.033,0.35819,0.03966722703
SNLS-03D3bh,0.249,-0.6038006529,21.132,0.018,0.993,0.008,-0.09,0.013,40.571,0.02,-0.13066,0.02375781345
SNLS-03D3cc,0.463,-0.334419009,22.558,0.111,1.074,0.031,-0.07,0.05,42.089,0.034,-0.22238,0.09155623627
SNLS-03D3cd,0.461,-0.3362990746,22.562,0.017,1.131,0.034,0.025,0.011,42.031,0.058,-0.15987,0.05448922187
SNLS-03D4ag,0.285,-0.54515514,21.237,0.005,1.059,0.005,-0.061,0.004,40.731,0.015,-0.18545,0.009858924891
SNLS-03D4at,0.633,-0.19859629,23.746,0.02,0.989,0.029,-0.06,0.03,43.133,0.064,-0.07748,0.06450935126
SNLS-03D4cn,0.818,-0.08724669633,24.652,0.051,0.743,0.059,0.023,0.158,43.532,0.304,0.42675,0.2637731336
SNLS-03D4cx,0.949,-0.02273378757,24.504,0.083,0.882,0.019,0.08,0.124,43.507,0.272,0.30496,0.1968104591
SNLS-03D4cy,0.927,-0.03292026586,24.718,0.109,1.031,0.052,-0.305,0.174,44.553,0.38,-0.52597,0.2843846585
SNLS-03D4cz,0.695,-0.1580151954,24.019,0.036,0.729,0.024,-0.069,0.043,43.023,0.086,0.30359,0.07673584886
SNLS-03D4dh,0.627,-0.2027324592,23.389,0.011,1.061,0.013,0.028,0.016,42.746,0.035,-0.04876,0.03196047559
SNLS-03D4di,0.905,-0.04335142079,24.288,0.068,1.103,0.041,0.029,0.12,43.708,0.258,-0.11103,0.1984397702
SNLS-03D4dy,0.604,-0.2189630614,23.313,0.01,1.056,0.001,0.122,0.015,42.515,0.029,0.10642,0.0235990021
SNLS-03D4fd,0.791,-0.1018235165,24.212,0.025,0.919,0.033,0.028,0.044,43.353,0.076,0.16708,0.08537020558
SNLS-03D4gf,0.581,-0.2358238676,23.351,0.013,1.009,0.026,-0.056,0.024,42.761,0.047,-0.1016,0.05460414636
SNLS-03D4gg,0.592,-0.2276782933,23.403,0.024,0.966,0.049,0.062,0.035,42.562,0.09,0.14902,0.09255686306
SNLS-03D4gl,0.571,-0.2433638918,23.269,0.026,0.957,0.033,0.03,0.028,42.465,0.07,0.11246,0.06669713037
SNLS-04D1ag,0.557,-0.2541448048,23.003,0.011,0.944,0.013,-0.182,0.017,42.511,0.029,-0.20062,0.03320863894
SNLS-04D1aj,0.721,-0.1420647353,23.901,0.03,1.074,0.067,0.072,0.038,43.209,0.106,0.00056,0.1180283915
SNLS-04D1ak,0.526,-0.2790142558,23.631,0.028,0.824,0.021,0.018,0.033,42.644,0.055,0.29578,0.06085361534
SNLS-04D2cf,0.369,-0.4329736338,22.34,0.007,0.895,0.003,0.002,0.01,41.485,0.016,0.16274,0.01634881035
SNLS-04D2fp,0.415,-0.3819519033,22.528,0.01,0.964,0.01,0.006,0.015,41.772,0.027,0.06414,0.02802931501
SNLS-04D2fs,0.357,-0.4473317839,22.422,0.008,0.942,0.009,0.128,0.008,41.441,0.018,0.28912,0.01857137582
SNLS-04D2gb,0.43,-0.3665315444,22.796,0.018,0.777,0.013,-0.008,0.025,41.776,0.038,0.3264,0.04394337379
SNLS-04D2gc,0.521,-0.2831622767,23.321,0.014,1.065,0.024,0.185,0.022,42.439,0.054,0.19165,0.05023745615
SNLS-04D2gp,0.707,-0.1505805862,24.151,0.047,0.801,0.002,-0.052,0.06,43.237,0.129,0.22084,0.09424904031
SNLS-04D2iu,0.691,-0.1605219526,24.258,0.048,0.8,0.035,0.074,0.056,43.144,0.136,0.42018,0.1027626703
SNLS-04D2ja,0.741,-0.130181792,24.098,0.045,0.945,0.036,-0.067,0.043,43.427,0.117,-0.02159,0.08690154487
SNLS-04D3co,0.62,-0.2076083105,23.781,0.022,0.895,0.017,-0.064,0.03,43.03,0.06,0.05912,0.05372257998
SNLS-04D3cp,0.83,-0.08092190762,24.235,0.063,1.11,0.035,-0.448,0.18,44.414,0.347,-0.87056,0.2875639059
SNLS-04D3cy,0.643,-0.1917890271,23.798,0.021,0.963,0.016,0.017,0.029,43.023,0.059,0.08293,0.05161824581
SNLS-04D3dd,1.01,0.004321373783,25.12,0.192,1.088,0.074,-0.071,0.205,44.673,0.533,-0.24523,0.3409386644
SNLS-04D3df,0.47,-0.3279021421,23.465,0.01,0.73,0.01,0.06,0.017,42.268,0.032,0.5046,0.03071475378
SNLS-04D3do,0.61,-0.214670165,23.574,0.014,0.862,0.013,-0.079,0.019,42.796,0.039,0.08573,0.03578109138
SNLS-04D3ez,0.263,-0.5800442515,21.678,0.004,0.895,0.006,0.091,0.003,40.682,0.013,0.30247,0.01026442887
SNLS-04D3fk,0.358,-0.4461169734,22.532,0.005,0.913,0.005,0.149,0.006,41.474,0.013,0.36617,0.01210356972
SNLS-04D3fq,0.73,-0.1366771399,24.128,0.026,0.9,0.014,-0.002,0.037,43.287,0.075,0.14886,0.06186506688
SNLS-04D3gt,0.451,-0.3458234581,23.235,0.01,0.953,0.01,0.276,0.016,42.038,0.03,0.50476,0.02936076293
SNLS-04D3gx,0.91,-0.04095860768,24.708,0.094,0.952,0.047,-0.202,0.163,44.259,0.346,-0.24418,0.2656945647
SNLS-04D3hn,0.552,-0.2580609223,23.475,0.011,0.898,0.011,0.106,0.017,42.461,0.035,0.32146,0.03149467415
SNLS-04D3is,0.71,-0.1487416513,24.256,0.027,0.972,0.002,0.22,0.038,43.176,0.077,0.38796,0.05973740202
SNLS-04D3ki,0.93,-0.03151705145,24.871,0.126,0.901,0.039,-0.256,0.194,44.43,0.43,-0.25144,0.3102951737
SNLS-04D3kr,0.337,-0.4723700991,21.967,0.003,1.064,0.004,0.072,0.003,41.259,0.01,0.01576,0.007690936224
SNLS-04D3ks,0.752,-0.1237821594,23.882,0.035,1.013,0.037,0.026,0.043,43.17,0.09,0.02106,0.08786659035
SNLS-04D3lp,0.983,-0.007446482168,24.925,0.168,0.831,0.049,0.022,0.211,43.941,0.496,0.29142,0.3395395166
SNLS-04D3lu,0.822,-0.08512818246,24.342,0.04,0.95,0.028,0.019,0.116,43.544,0.218,0.10583,0.1870268644
SNLS-04D3ml,0.95,-0.02227639471,24.552,0.082,1.182,0.015,0.117,0.122,43.954,0.268,-0.09295,0.1928922279
SNLS-04D3nc,0.817,-0.08777794347,24.271,0.048,1.111,0.064,0.062,0.14,43.652,0.254,-0.07138,0.2403652188
SNLS-04D3nh,0.34,-0.468521083,22.137,0.004,1.011,0.006,0.089,0.004,41.323,0.012,0.12301,0.01107306642
SNLS-04D3nr,0.96,-0.01772876696,24.542,0.075,0.922,0.045,0.07,0.11,43.622,0.234,0.22846,0.1857521198
SNLS-04D3ny,0.81,-0.09151498112,24.272,0.05,1.005,0.084,-0.065,0.152,43.691,0.301,-0.10965,0.2706496481
SNLS-04D3oe,0.756,-0.1214782045,24.069,0.026,0.783,0.028,-0.259,0.033,43.453,0.058,-0.07679,0.06704945712
SNLS-04D4an,0.613,-0.2125395255,24.022,0.023,0.823,0.025,0.064,0.025,42.961,0.061,0.36952,0.05463114954
SNLS-04D4bk,0.84,-0.07572071394,24.314,0.037,1.05,0.051,0.142,0.098,43.475,0.185,0.14694,0.1722853737
SNLS-04D4bq,0.55,-0.2596373105,23.362,0.02,0.995,0.029,0.112,0.027,42.487,0.056,0.18344,0.06115520011
SNLS-04D4dm,0.811,-0.09097914579,24.39,0.044,1,0.057,-0.161,0.15,43.95,0.264,-0.25277,0.2509317429
SNLS-04D4dw,0.961,-0.01727661233,24.566,0.093,0.962,0.058,-0.117,0.138,44,0.29,-0.12593,0.233909686
